"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
7,866162618E1;-4,405141771E-1;1,721356988E0;9,528512955E0
7,866398592E1;-4,596669674E-1;1,699810147E0;9,538089752E0
7,866634649E1;-4,572728574E-1;1,714174747E0;9,578789711E0
7,866870675E1;-4,812138677E-1;1,714174747E0;9,583577156E0
7,867106701E1;-4,572728574E-1;1,671080947E0;9,624277115E0
7,867342774E1;-4,165731966E-1;1,673475027E0;9,629065514E0
7,867578842E1;-4,141790867E-1;1,695021987E0;9,643429756E0
7,867815003E1;-4,069967866E-1;1,683051467E0;9,662582397E0
7,868051045E1;-3,926321864E-1;1,673475027E0;9,327408791E0
7,868287040E1;-4,261495769E-1;1,800362349E0;8,161482811E0
7,868523060E1;-5,626131892E-1;2,046954393E0;6,938098431E0
7,868759149E1;-6,535889506E-1;2,224117756E0;6,758541107E0
7,868995227E1;-6,152833700E-1;2,123565674E0;7,618022442E0
7,869231311E1;-5,458545089E-1;1,876973391E0;8,472715378E0
7,869467399E1;-5,530368090E-1;1,809938669E0;8,925200462E0
7,869703420E1;-6,081010699E-1;1,845850110E0;9,049693108E0
7,869939488E1;-8,211758733E-1;2,082865953E0;8,187817574E0
7,870175550E1;-6,775299311E-1;2,147506714E0;8,745642662E0
7,870411618E1;-5,506427288E-1;1,944008231E0;9,597942352E0
7,870647680E1;-4,069967866E-1;1,776421309E0;1,013900852E1
7,870883732E1;-3,567207158E-1;1,627987146E0;1,063698101E1
7,871119784E1;-3,758735061E-1;1,474764824E0;1,122832298E1
7,871355790E1;-2,944741547E-1;1,355059862E0;1,186515331E1
7,871591863E1;-1,819515079E-1;1,187473059E0;1,255226040E1
7,871827941E1;-1,125226468E-1;1,036644816E0;1,310529709E1
7,872063967E1;-2,633508667E-2;9,408808351E-1;1,357693386E1
7,872299962E1;7,182296365E-3;9,121516347E-1;1,362002754E1
7,872535962E1;-1,053403467E-1;1,007915616E0;1,322260761E1
7,872771988E1;-1,029462516E-1;1,024674296E0;1,285631084E1
7,873008003E1;-1,316754371E-1;1,062979817E0;1,237749100E1
7,873243977E1;-1,675869226E-1;1,094103098E0;1,168320179E1
7,873479998E1;-1,939219981E-1;1,189867139E0;1,085005569E1
7,873716055E1;-2,729272544E-1;1,333513021E0;9,834958076E0
7,873952092E1;-4,500905871E-1;1,501099944E0;8,515809059E0
7,874188180E1;-5,769777894E-1;1,757268548E0;7,689845085E0
7,874424191E1;-6,655594707E-1;1,797968149E0;7,450435638E0
7,874660232E1;-6,440125704E-1;1,850638390E0;7,335518837E0
7,874896264E1;-1,082132697E0;2,039772272E0;7,246936798E0
7,875132316E1;-1,537011385E0;2,173841715E0;6,974009991E0
7,875368368E1;-1,374212742E0;2,334246397E0;6,588560104E0
7,875604410E1;-1,510676384E0;2,463527679E0;6,698688507E0
7,875840399E1;-1,548981905E0;2,465921640E0;7,038650513E0
7,876076394E1;-1,395759583E0;2,470710039E0;7,541411400E0
7,876312420E1;-1,371818662E0;2,358187199E0;8,063324928E0
7,876548509E1;-1,230566740E0;2,216935396E0;8,554115295E0
7,876784566E1;-1,165926099E0;2,070895433E0;9,076028824E0
7,877020654E1;-9,911568761E-1;1,991890192E0;9,583577156E0
