"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
2.126307595E3;2.650267363E0;3.670153379E0;8.623543739E0
2.126309955E3;2.678996563E0;3.662971258E0;8.542144775E0
2.126312315E3;2.559291601E0;3.720429420E0;8.513415337E0
2.126314675E3;2.566473961E0;3.694094419E0;8.434410095E0
2.126317035E3;2.599991322E0;3.674941540E0;8.424833298E0
2.126319395E3;2.633508682E0;3.651000738E0;8.472715378E0
2.126321756E3;2.755607605E0;3.607906818E0;8.470321655E0
2.126324117E3;2.700543404E0;4.184884548E0;9.073634148E0
2.126326478E3;3.342161894E0;2.152294874E0;7.282848358E0
2.126328840E3;2.135536194E0;5.604585171E0;1.041193581E1
2.126331200E3;2.839401245E0;2.468315840E0;8.089659691E0
2.126333561E3;4.103485107E0;2.805883884E0;8.130359650E0
2.126335922E3;1.168320179E0;5.434604168E0;1.013182640E1
2.126338282E3;3.011776209E0;2.051742554E0;7.460011959E0
2.126340643E3;3.473837376E0;3.696488619E0;8.939564705E0
2.126343004E3;1.273660541E0;4.144185066E0;9.372897148E0
2.126345365E3;3.579177618E0;3.078810930E0;8.434410095E0
2.126347725E3;2.801095486E0;3.404408455E0;8.530174255E0
2.126350086E3;2.030195713E0;3.859287262E0;9.090393066E0
2.126352447E3;3.318220854E0;3.191333771E0;8.781554222E0
2.126354808E3;2.434798479E0;3.569601297E0;9.071240425E0
2.126357169E3;2.738848925E0;3.811405182E0;9.301074028E0
2.126359529E3;3.157816410E0;3.102751970E0;8.736066818E0
2.126361890E3;2.647873163E0;3.646212339E0;9.152639389E0
2.126364251E3;2.532956600E0;3.564813137E0;9.111940384E0
2.126366611E3;2.707725763E0;3.167392731E0;8.630725861E0
2.126368971E3;2.434798479E0;3.694094419E0;9.030540466E0
2.126371332E3;2.626326323E0;3.509748936E0;8.846195221E0
2.126373693E3;2.860948086E0;3.481019735E0;8.798313141E0
2.126376054E3;2.662237883E0;3.624665499E0;8.800706863E0
2.126378415E3;2.676602364E0;3.519325256E0;8.719307899E0
2.126380776E3;2.801095486E0;3.524113417E0;8.779160500E0
2.126383136E3;2.810672045E0;3.528901577E0;8.771978378E0
2.126385497E3;2.844189405E0;3.672547579E0;8.798313141E0
2.126387857E3;2.944741488E0;3.483413696E0;8.570873260E0
2.126390218E3;2.889677286E0;3.660577059E0;8.649878502E0
2.126392579E3;2.722090244E0;3.507354736E0;8.513415337E0
2.126394940E3;2.762789965E0;3.612694979E0;8.518203735E0
2.126397301E3;2.717302084E0;3.399620295E0;8.178241730E0
2.126399662E3;2.667026043E0;3.677335739E0;8.333857536E0
2.126402022E3;2.810672045E0;3.404408455E0;8.104023933E0
2.126404383E3;2.791519165E0;3.622271538E0;8.341040611E0
2.126406743E3;2.726878405E0;3.531295776E0;8.297945976E0
2.126409103E3;2.820248365E0;3.548054457E0;8.364980698E0
2.126411463E3;2.760396004E0;3.526507616E0;8.367375374E0
2.126413823E3;2.789125204E0;3.557630777E0;8.487080574E0
2.126416183E3;2.899253607E0;3.560024977E0;8.556509018E0
2.126418544E3;2.839401245E0;3.524113417E0;8.546932220E0
2.126420905E3;2.887283087E0;3.679729939E0;8.633120537E0
2.126423266E3;2.870524406E0;3.524113417E0;8.427227974E0
2.126425627E3;2.805883884E0;3.662971258E0;8.482292175E0
