"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
4.810871601E2;1.639957666E0;4.227978230E0;8.669032097E0
4.810895207E2;1.639957666E0;4.242342949E0;8.652273178E0
4.810918813E2;1.623198986E0;4.254313469E0;8.661849022E0
4.810942428E2;1.656716347E0;4.232766628E0;8.654666901E0
4.810966035E2;1.639957666E0;4.244737148E0;8.654666901E0
4.810989635E2;1.649534106E0;4.251919270E0;8.657061577E0
4.811013248E2;1.623198986E0;4.254313469E0;8.659455299E0
4.811036857E2;1.613622546E0;4.230372429E0;8.661849022E0
4.811060466E2;1.611228466E0;4.223190308E0;8.659455299E0
4.811084082E2;1.635169506E0;4.225584507E0;8.669032097E0
4.811107691E2;1.649534106E0;4.251919270E0;8.654666901E0
4.811131297E2;1.630381227E0;4.235160828E0;8.630725861E0
4.811154903E2;1.630381227E0;4.235160828E0;8.642696381E0
4.811178514E2;1.632775426E0;4.237555027E0;8.637907982E0
4.811202125E2;1.635169506E0;4.254313469E0;8.640302658E0
4.811225744E2;1.618410826E0;4.244737148E0;8.661849022E0
4.811249358E2;1.625593066E0;4.225584507E0;8.640302658E0
4.811272970E2;1.661504507E0;4.239948750E0;8.654666901E0
4.811296582E2;1.647140026E0;4.251919270E0;8.654666901E0
4.811320194E2;1.618410826E0;4.268678188E0;8.635514259E0
4.811343805E2;1.639957666E0;4.218401909E0;8.654666901E0
4.811367419E2;1.625593066E0;4.230372429E0;8.652273178E0
4.811391024E2;1.582499266E0;4.223190308E0;8.671425819E0
4.811414630E2;1.618410826E0;4.201643467E0;8.649878502E0
4.811438231E2;1.639957666E0;4.239948750E0;8.671425819E0
4.811461846E2;1.616016626E0;4.232766628E0;8.654666901E0
4.811485455E2;1.635169506E0;4.223190308E0;8.642696381E0
4.811509068E2;1.613622546E0;4.230372429E0;8.654666901E0
4.811532668E2;1.587287545E0;4.213613987E0;8.642696381E0
4.811556281E2;1.247325420E0;4.101091385E0;8.633120537E0
4.811579893E2;7.804762125E-1;3.995750904E0;8.963505745E0
4.811603501E2;1.915279031E-1;3.837740421E0;9.483025551E0
4.811627104E2;-3.160210252E-1;3.557630777E0;1.006479168E1
4.811650707E2;-4.716374576E-1;3.452290535E0;1.042869473E1
4.811674311E2;-6.942886114E-2;3.514537096E0;1.031617165E1
4.811697920E2;1.146773338E0;3.943080664E0;9.679341316E0
4.811721531E2;2.875312567E0;4.486541271E0;8.678607941E0
4.811745135E2;4.579910755E0;4.943813801E0;7.589293003E0
4.811768738E2;5.671619892E0;5.214347363E0;6.734600067E0
4.811792339E2;5.800901413E0;5.314899445E0;6.002005577E0
4.811815942E2;5.106612682E0;5.374751568E0;5.776960373E0
4.811839548E2;3.978992224E0;5.408268929E0;6.112133980E0
4.811863148E2;2.781942844E0;5.259835243E0;6.617289066E0
4.811886751E2;1.683051467E0;4.831291199E0;7.093714714E0
4.811910361E2;6.631653905E-1;4.328530788E0;7.718574524E0
4.811933972E2;-2.489862740E-1;3.964627504E0;8.573267937E0
4.811957574E2;-9.456689954E-1;3.741976500E0;9.535695076E0
4.811981180E2;-1.424488783E0;3.524113417E0;1.023237801E1
4.812004783E2;-1.560952425E0;3.275127172E0;1.057473469E1
4.812028388E2;-1.333513021E0;3.143451691E0;1.073753262E1
4.812051989E2;-7.062591314E-1;3.205698252E0;1.088596725E1
4.812075590E2;3.495384157E-1;3.469049215E0;1.080696201E1
4.812099193E2;1.606440306E0;3.684518099E0;1.042151165E1
4.812122791E2;2.882494926E0;3.873651743E0;9.811017036E0
4.812146394E2;3.950263023E0;4.134608746E0;9.226857185E0
4.812170001E2;4.512876034E0;4.445841312E0;8.657061577E0
4.812193603E2;4.572728634E0;4.699615955E0;8.175847054E0
4.812217204E2;4.158549786E0;4.850444317E0;7.627598763E0
4.812240811E2;3.334979534E0;4.874385357E0;7.155961514E0
4.812264422E2;2.343822718E0;4.852838039E0;7.014709473E0
4.812288025E2;1.369424462E0;4.828897476E0;7.134414196E0
4.812311628E2;6.464066505E-1;4.680463314E0;7.323548317E0
4.812335237E2;1.963160932E-1;4.476964951E0;7.589293003E0
4.812358848E2;-2.633508667E-2;4.292619228E0;7.888555527E0
4.812382458E2;-3.830558062E-2;4.180096626E0;8.364980698E0
4.812406072E2;1.149167418E-1;4.057997227E0;8.788736343E0
4.812429681E2;4.141790867E-1;3.959839344E0;9.150245667E0
4.812453295E2;7.325942516E-1;3.883228302E0;9.447113991E0
4.812476905E2;1.206625819E0;3.789858341E0;9.559636116E0
4.812500518E2;1.690233707E0;3.847316742E0;9.609912872E0
4.812524137E2;2.209753275E0;4.000539303E0;9.617094994E0
4.812547743E2;2.662237883E0;4.172914028E0;9.499784470E0
4.812571353E2;2.971076488E0;4.239948750E0;9.217280388E0
4.812594962E2;3.035717249E0;4.235160828E0;8.939564705E0
4.812618569E2;2.808277845E0;4.237555027E0;8.724096298E0
4.812642175E2;2.362975597E0;4.235160828E0;8.609179497E0
4.812665780E2;1.860214710E0;4.266283989E0;8.601997375E0
4.812689382E2;1.283236980E0;4.249525547E0;8.707337379E0
4.812712984E2;8.307522535E-1;4.151367188E0;8.776765823E0
4.812736588E2;5.745837092E-1;4.115455627E0;8.606784821E0
4.812760200E2;5.865542293E-1;4.225584507E0;8.175847054E0
4.812783805E2;8.977870345E-1;4.481752872E0;7.742515564E0
4.812807408E2;1.367030382E0;4.730739117E0;7.436070919E0
4.812831016E2;1.788391829E0;4.852838039E0;7.249330997E0
4.812854623E2;2.102018833E0;4.814532757E0;7.184690475E0
4.812878231E2;2.303122997E0;4.673280716E0;7.333124638E0
4.812901843E2;2.267211437E0;4.567940712E0;7.718574524E0
4.812925450E2;2.092442274E0;4.436264992E0;8.278793335E0
4.812949059E2;1.845850110E0;4.263889790E0;8.760007858E0
4.812972670E2;1.594469786E0;4.050815105E0;9.186157227E0
4.812996281E2;1.395759583E0;3.868863583E0;9.540483475E0
4.813019892E2;1.302389741E0;3.777887821E0;9.832563400E0
4.813043501E2;1.328724861E0;3.751552820E0;1.000733280E1
4.813067114E2;1.438853383E0;3.720429420E0;9.983391762E0
4.813090728E2;1.522646785E0;3.765917301E0;9.842140198E0
4.813114336E2;1.599257946E0;3.866469622E0;9.595547676E0
4.813137951E2;1.608834386E0;3.978992224E0;9.301074028E0
4.813161558E2;1.620804906E0;4.122638226E0;8.963505745E0
4.813185166E2;1.659110427E0;4.268678188E0;8.537356377E0
4.813208771E2;1.704598308E0;4.397959709E0;8.235699654E0
4.813232376E2;1.757268548E0;4.496117592E0;7.979531288E0
4.813255989E2;1.826697350E0;4.575122833E0;7.802368164E0
4.813279597E2;1.843456030E0;4.587093353E0;7.701815605E0
4.813303207E2;1.802756429E0;4.591881275E0;7.692239285E0
4.813326813E2;1.730933428E0;4.563152313E0;7.804761887E0
4.813350422E2;1.627987146E0;4.505693913E0;7.977137089E0
4.813374025E2;1.520252705E0;4.397959709E0;8.218940735E0
4.813397631E2;1.453217983E0;4.283042908E0;8.482292175E0
4.813421233E2;1.390971422E0;4.172914028E0;8.760007858E0
4.813444835E2;1.438853383E0;4.089120865E0;9.008994102E0
4.813468437E2;1.489129424E0;3.998144865E0;9.200521469E0
4.813492044E2;1.587287545E0;3.950263023E0;9.320226669E0
4.813515649E2;1.680657387E0;3.959839344E0;9.404020309E0
4.813539260E2;1.692627788E0;3.971809864E0;9.375290871E0
4.813562862E2;1.733327508E0;3.986174583E0;9.277132988E0
4.813586470E2;1.709386587E0;4.022086143E0;9.107151985E0
4.813610079E2;1.671080947E0;4.110667706E0;8.944353104E0
4.813633688E2;1.647140026E0;4.204037666E0;8.771978378E0
4.813657290E2;1.656716347E0;4.292619228E0;8.563691139E0
4.813680894E2;1.651928186E0;4.326136589E0;8.369769096E0
4.813704498E2;1.613622546E0;4.407536030E0;8.180635452E0
4.813728099E2;1.604046226E0;4.457811832E0;8.132753372E0
4.813751702E2;1.604046226E0;4.469782352E0;8.094448090E0
4.813775307E2;1.570528746E0;4.462600231E0;8.094448090E0
4.813798916E2;1.553770065E0;4.393171310E0;8.149512291E0
4.813822525E2;1.558558345E0;4.354865551E0;8.252458572E0
4.813846134E2;1.589681625E0;4.335712910E0;8.417651176E0
4.813869738E2;1.618410826E0;4.273466110E0;8.647484779E0
4.813893347E2;1.687839627E0;4.165731907E0;8.755219460E0
4.813916949E2;1.697416067E0;4.113061905E0;8.903653145E0
4.813940550E2;1.728539348E0;4.103485107E0;9.040117264E0
4.813964156E2;1.695021987E0;4.072361946E0;9.131093025E0
4.813987762E2;1.671080947E0;4.072361946E0;9.133486748E0
4.814011368E2;1.656716347E0;4.055603504E0;9.119122505E0
4.814034973E2;1.647140026E0;4.074756145E0;9.044905663E0
4.814058583E2;1.606440306E0;4.156155586E0;8.932382584E0
4.814082194E2;1.620804906E0;4.196855068E0;8.810283661E0
4.814105802E2;1.618410826E0;4.227978230E0;8.652273178E0
4.814129411E2;1.635169506E0;4.280648708E0;8.503838539E0
4.814153019E2;1.606440306E0;4.333318710E0;8.384134293E0
4.814176623E2;1.608834386E0;4.354865551E0;8.324281693E0
4.814200230E2;1.565740585E0;4.366836071E0;8.278793335E0
4.814223834E2;1.582499266E0;4.352471828E0;8.271611214E0
4.814247437E2;1.565740585E0;4.321348190E0;8.343434334E0
4.814271040E2;1.501099944E0;4.304589748E0;8.470321655E0
4.814294642E2;1.453217983E0;4.242342949E0;8.628332138E0
4.814318241E2;1.450823903E0;4.170520306E0;8.827042580E0
4.814341848E2;1.436459303E0;4.086726665E0;9.001811028E0
4.814365453E2;1.434065223E0;4.022086143E0;9.140668869E0
4.814389055E2;1.493917704E0;4.010115623E0;9.238826752E0
4.814412657E2;1.517858624E0;3.983780384E0;9.336985588E0
4.814436259E2;1.565740585E0;3.998144865E0;9.370502472E0
4.814459861E2;1.625593066E0;4.036450386E0;9.265162468E0
4.814483466E2;1.735721588E0;4.120244026E0;9.018569946E0
4.814507062E2;1.814726830E0;4.204037666E0;8.712125778E0
4.814530668E2;1.934431791E0;4.376412392E0;8.384134293E0
4.814554272E2;2.051742554E0;4.505693913E0;8.070507050E0
4.814577878E2;2.154688835E0;4.611034393E0;7.835885525E0
4.814601480E2;2.166659355E0;4.634975433E0;7.701815605E0
4.814625080E2;2.128353834E0;4.634975433E0;7.670692444E0
4.814648689E2;1.984707952E0;4.584699154E0;7.759274006E0
4.814672297E2;1.821909189E0;4.493723392E0;7.955590248E0
4.814695901E2;1.606440306E0;4.448235512E0;8.171059608E0
4.814719501E2;1.474764824E0;4.309377670E0;8.396104813E0
4.814743103E2;1.355059862E0;4.218401909E0;8.623543739E0
4.814766704E2;1.311966181E0;4.146579266E0;8.803101540E0
4.814790307E2;1.288025141E0;4.108273506E0;8.963505745E0
4.814813907E2;1.316754341E0;4.060391426E0;9.076028824E0
4.814837503E2;1.345483541E0;4.072361946E0;9.073634148E0
4.814861109E2;1.376606822E0;4.089120865E0;9.092786789E0
4.814884708E2;1.453217983E0;4.101091385E0;9.018569946E0
4.814908300E2;1.481947184E0;4.134608746E0;8.951535225E0
4.814931906E2;1.539405465E0;4.151367188E0;8.860559464E0
4.814955512E2;1.568134665E0;4.194460869E0;8.786342621E0
4.814979118E2;1.584893346E0;4.211219788E0;8.724096298E0
4.815002725E2;1.604046226E0;4.218401909E0;8.697760582E0
4.815026336E2;1.596863866E0;4.242342949E0;8.647484779E0
4.815049943E2;1.589681625E0;4.247131348E0;8.604391098E0
4.815073552E2;1.623198986E0;4.249525547E0;8.592420578E0
4.815097166E2;1.611228466E0;4.268678188E0;8.582843781E0
4.815120772E2;1.611228466E0;4.268678188E0;8.587632179E0
4.815144385E2;1.642351747E0;4.261496067E0;8.575661659E0
4.815167991E2;1.651928186E0;4.242342949E0;8.590026855E0
4.815191601E2;1.675869107E0;4.280648708E0;8.573267937E0
4.815215209E2;1.687839627E0;4.287830830E0;8.578056335E0
4.815238814E2;1.745298028E0;4.295013428E0;8.573267937E0
4.815262421E2;1.793179989E0;4.271072388E0;8.556509018E0
4.815286034E2;1.817121029E0;4.280648708E0;8.532567978E0
4.815309638E2;1.934431791E0;4.306983948E0;8.669032097E0
4.815333242E2;1.960766912E0;4.266283989E0;8.592420578E0
4.815356852E2;1.944008231E0;4.232766628E0;8.470321655E0
4.815380451E2;1.785997748E0;4.259101868E0;8.458351135E0
4.815404053E2;1.613622546E0;4.311771870E0;8.578056335E0
4.815427660E2;1.469976664E0;4.306983948E0;8.645091057E0
4.815451260E2;1.436459303E0;4.225584507E0;8.623543739E0
4.815474861E2;1.367030382E0;4.201643467E0;8.625937462E0
4.815498462E2;1.328724861E0;4.175308228E0;8.661849022E0
4.815522069E2;1.311966181E0;4.192067146E0;8.793524742E0
4.815545675E2;1.338301182E0;4.218401909E0;8.795919418E0
4.815569283E2;1.422094703E0;4.160943508E0;8.762401581E0
4.815592894E2;1.496311784E0;4.163337708E0;8.736066818E0
4.815616500E2;1.580105186E0;4.216008186E0;8.793524742E0
4.815640107E2;1.699810147E0;4.271072388E0;8.798313141E0
4.815663709E2;1.845850110E0;4.259101868E0;8.731278419E0
4.815687318E2;1.989496112E0;4.232766628E0;8.640302658E0
4.815710918E2;2.003860712E0;4.263889790E0;8.630725861E0
4.815734528E2;1.982313752E0;4.304589748E0;8.657061577E0
4.815758135E2;1.915279031E0;4.304589748E0;8.659455299E0
4.815781741E2;1.821909189E0;4.256707668E0;8.592420578E0
