"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.531727760E-1;4.716374397E0;4.505693913E0;1.192740059E1;1.359442349E1
6.555282450E-1;3.334979534E0;4.153761387E0;1.297122765E1;1.402243092E1
6.578836090E-1;1.230566740E0;4.663704395E0;1.368945694E1;1.451432618E1
6.602398590E-1;-6.416184902E-1;2.638296843E0;1.184839535E1;1.215552372E1
6.625956410E-1;-2.298334837E0;4.826503277E0;1.251156044E1;1.360575693E1
6.649510050E-1;-3.461866856E0;3.782675982E0;1.029941273E1;1.150526237E1
6.673067340E-1;-3.138663530E0;3.346950054E0;7.414524078E0;8.719429496E0
6.696628800E-1;-3.940686703E0;5.252652645E0;6.210292339E0;9.038091748E0
6.720188180E-1;-1.599257946E0;5.207164764E0;4.453023911E0;7.035738256E0
6.743742860E-1;1.601652145E0;5.544732571E0;3.871257782E0;6.949531329E0
6.767301200E-1;3.476231337E0;6.504766464E0;4.259101868E0;8.516813945E0
6.790863180E-1;4.347683430E0;5.915818214E0;4.388382912E0;8.553195948E0
6.814425680E-1;3.100358009E0;4.606245995E0;5.001272202E0;7.472780311E0
6.837991820E-1;7.421706617E-2;6.128892899E0;9.140668869E0;1.100548335E1
6.861552240E-1;-1.630381227E0;4.220796108E0;1.089793777E1;1.179992841E1
6.885115780E-1;-1.922461271E0;3.481019735E0;1.201598167E1;1.265690212E1
6.908677760E-1;-3.919139624E0;4.596669674E0;1.353862858E1;1.482509667E1
6.932228280E-1;-2.839401245E0;2.755607605E0;1.186994171E1;1.251203776E1
6.955787660E-1;-2.355793238E0;3.653394699E0;1.115171242E1;1.196903273E1
6.979348590E-1;-1.706992388E0;5.041972160E0;1.055318737E1;1.181968993E1
7.002903800E-1;2.647873163E0;5.937365055E0;8.874924660E0;1.100126465E1
7.026460050E-1;4.687645435E0;4.670886517E0;5.185617924E0;8.407248886E0
7.050024110E-1;4.374018669E0;7.179902077E0;5.798507214E0;1.021301714E1
7.073587140E-1;3.279915333E0;5.192800045E0;4.096302986E0;7.382595414E0
7.097148070E-1;4.285436869E-1;4.692433834E0;4.792985916E0;6.721257246E0
7.120703800E-1;-2.678996563E0;5.626132011E0;7.249330997E0;9.559455210E0
7.144268910E-1;-2.932770967E0;3.823375702E0;8.266822815E0;9.568683648E0
7.167830890E-1;-3.287097692E0;4.283042908E0;1.066810417E1;1.195650093E1
7.191389220E-1;-3.725217819E0;3.540872097E0;1.137196922E1;1.247945139E1
7.214949640E-1;-2.542532921E0;2.961500168E0;1.123550606E1;1.189418149E1
7.238505890E-1;-2.025407553E0;3.605512857E0;1.175981331E1;1.246576142E1
7.262056410E-1;5.578250289E-1;4.778621197E0;1.250198364E1;1.339574501E1
7.285617340E-1;4.543999672E0;4.385989189E0;1.092187881E1;1.261634935E1
7.309175680E-1;5.990035057E0;5.197588444E0;9.550060272E0;1.241366573E1
7.332738180E-1;4.342895031E0;6.320420742E0;8.738460541E0;1.162622674E1
7.356294430E-1;2.370157719E0;4.180096626E0;5.484880447E0;7.292103190E0
7.379853280E-1;-1.955978751E0;5.903847694E0;6.346755981E0;8.886089239E0
7.403412140E-1;-4.302195549E0;5.482486248E0;5.453756809E0;8.849294059E0
7.426968910E-1;-3.763523340E0;4.311771870E0;4.014903545E0;6.991061083E0
7.450527240E-1;-4.491329193E0;5.654861450E0;4.462600231E0;8.489069252E0
7.474082450E-1;-4.158549786E0;5.164071083E0;5.539944649E0;8.640147752E0
7.497641300E-1;-1.644745827E0;4.211219788E0;5.647678852E0;7.234351205E0
7.521203800E-1;-4.476964772E-1;5.592614651E0;8.027413368E0;9.793729430E0
7.544765780E-1;3.605512857E0;4.917479038E0;9.037722588E0;1.090237372E1
7.568329840E-1;6.380273342E0;4.972543240E0;1.110143566E1;1.373593637E1
7.591891300E-1;6.016370296E0;4.900720119E0;1.299756241E1;1.513771442E1
7.615455360E-1;3.969415903E0;4.816926956E0;1.391450214E1;1.525032517E1
7.639022030E-1;4.309377670E-1;2.305517197E0;1.224102688E1;1.246370153E1
7.662581930E-1;-3.677335739E0;4.783409595E0;1.402223682E1;1.526521965E1
7.686144950E-1;-5.123371601E0;2.494650841E0;1.125944614E1;1.261932434E1
7.709709010E-1;-4.627792835E0;3.236821651E0;9.336985588E0;1.091204751E1
7.733265260E-1;-4.998878479E0;4.421900272E0;7.562958241E0;1.008664094E1
7.756827760E-1;-2.250452757E0;4.785803318E0;5.357993126E0;7.528382386E0
7.780387140E-1;4.189672768E-1;5.156888962E0;4.309377670E0;6.733481510E0
7.803942860E-1;3.057264090E0;6.689112186E0;4.460206032E0;8.601425661E0
7.827503280E-1;5.391510487E0;6.148045540E0;3.931110144E0;9.073063223E0
7.851067340E-1;5.276593685E0;5.547126770E0;4.567940712E0;8.915107328E0
