"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5.585774550E-1;2.537744641E-1;3.502566576E0;1.309093189E1;1.355377703E1
5.609339650E-1;2.848977447E-1;3.464261055E0;1.260014153E1;1.307080096E1
5.632908920E-1;2.537744641E-1;3.150634050E0;1.117325878E1;1.161174441E1
5.656470380E-1;1.173108369E-1;3.478625536E0;1.004563808E1;1.063153056E1
5.680037050E-1;-1.364636272E-1;4.371624470E0;9.360926628E0;1.033231195E1
5.703594340E-1;-3.303856254E-1;5.231105804E0;8.657061577E0;1.012019455E1
5.727158920E-1;-3.519325256E-1;5.259835243E0;6.727417469E0;8.546804613E0
5.750722980E-1;-3.327797353E-1;5.324475765E0;5.401086807E0;7.591608738E0
5.774287050E-1;-4.476964772E-1;5.700349331E0;5.008454800E0;7.601252141E0
5.797848500E-1;-6.535889506E-1;6.078616619E0;5.104218483E0;7.964283071E0
5.821413090E-1;-7.685056925E-1;6.164804459E0;5.446574688E0;8.261996783E0
5.844977150E-1;-5.985246897E-1;6.229444981E0;6.013976097E0;8.679408106E0
5.868542250E-1;-2.801095545E-1;5.875118256E0;6.277327061E0;8.602343338E0
5.892106840E-1;9.576395154E-2;5.106612682E0;6.272538662E0;8.088968110E0
5.915665690E-1;5.027607679E-1;4.986907959E0;7.060197353E0;8.658429768E0
5.939227150E-1;7.828702927E-1;5.542338848E0;8.941959381E0;1.054936223E1
5.962786530E-1;8.331463933E-1;4.855232239E0;9.023358345E0;1.028048680E1
5.986350070E-1;7.134414315E-1;3.993356705E0;8.997023582E0;9.869261867E0
6.009921940E-1;4.644551575E-1;4.089120865E0;1.028983688E1;1.108229990E1
6.033491210E-1;6.942886114E-2;3.947868824E0;1.123789978E1;1.191137608E1
6.057051110E-1;-3.543266058E-1;3.526507616E0;1.155631447E1;1.208760553E1
6.080612570E-1;-5.171253681E-1;3.325403214E0;1.178854275E1;1.225950510E1
6.104180800E-1;-3.878439963E-1;3.586359978E0;1.234397316E1;1.286025172E1
6.127750070E-1;-2.561685741E-1;3.739582300E0;1.217638683E1;1.274027058E1
6.151312570E-1;-6.703476608E-2;3.423561335E0;1.089554405E1;1.142095206E1
6.174874550E-1;1.604046226E-1;3.952656984E0;1.039278316E1;1.112021442E1
6.198438090E-1;1.340695322E-1;4.620610714E0;9.818199158E0;1.085196078E1
6.221997980E-1;3.112328425E-2;4.558363914E0;7.912496567E0;9.131662070E0
6.245557880E-1;-1.436459273E-1;5.283775806E0;6.859093189E0;8.659450347E0
6.269111000E-1;-3.543266058E-1;5.736260891E0;5.638102531E0;8.050989784E0
6.292671940E-1;-5.650073290E-1;5.997217655E0;4.690039635E0;7.634286126E0
6.316233400E-1;-6.751358509E-1;6.277327061E0;4.342895031E0;7.662987713E0
6.339802150E-1;-5.602191091E-1;6.250991821E0;3.878440142E0;7.377739636E0
6.363369860E-1;-2.130747885E-1;5.731472492E0;3.413984776E0;6.674613835E0
6.386938610E-1;-1.125226468E-1;6.262962341E0;5.446574688E0;8.300755054E0
6.410506320E-1;1.915279031E-2;5.657255650E0;6.655594826E0;8.735093062E0
6.434077150E-1;2.274393886E-1;5.116189003E0;7.754486084E0;9.292963629E0
6.457649550E-1;4.405141771E-1;4.831291199E0;9.164609909E0;1.036945043E1
6.481217780E-1;5.554308891E-1;4.318953991E0;1.039517689E1;1.127038462E1
6.504779750E-1;6.009187698E-1;3.749158621E0;1.137915134E1;1.199593177E1
6.528349030E-1;5.650073290E-1;3.797040701E0;1.278688145E1;1.335069618E1
6.551916210E-1;3.806616962E-1;3.277521133E0;1.277730560E1;1.319646114E1
6.575484440E-1;7.421706617E-2;2.825036526E0;1.196809959E1;1.229722519E1
6.599055280E-1;-2.705331743E-1;3.258368492E0;1.219314480E1;1.262390326E1
6.622620900E-1;-4.333318770E-1;3.782675982E0;1.181487751E1;1.241320848E1
6.646181840E-1;-4.644551575E-1;3.732399940E0;1.049333477E1;1.114704456E1
6.669749550E-1;-3.279915452E-1;4.184884548E0;9.626670837E0;1.050207734E1
6.693320900E-1;-7.421706617E-2;4.352471828E0;8.072900772E0;9.171763520E0
6.716877150E-1;1.292813420E-1;5.137735844E0;7.263695717E0;8.897995209E0
6.740437570E-1;1.556164175E-1;5.494456768E0;6.207898140E0;8.291638617E0
6.764007360E-1;-1.675869152E-2;5.961306095E0;6.013976097E0;8.467901730E0
6.787574550E-1;-2.944741547E-1;6.028340816E0;5.597403049E0;8.231556896E0
6.811136530E-1;-6.655594707E-1;5.640496731E0;5.063519001E0;7.609033937E0
6.834701110E-1;-1.058191657E0;6.011581898E0;5.647678852E0;8.315958328E0
6.858264130E-1;-1.118044138E0;6.083405018E0;6.286903381E0;8.819466732E0
6.881830800E-1;-7.637175322E-1;5.796113014E0;6.504766464E0;8.745866298E0
6.905389650E-1;-2.394098788E-3;5.267017365E0;6.832757950E0;8.627169805E0
6.928952670E-1;7.589293122E-1;5.243076324E0;7.862220287E0;9.480523767E0
