"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
7.780791488E1;9.384866953E-1;5.532762527E0;7.527046680E0
7.781027572E1;1.089314938E0;4.596669674E0;7.285242558E0
7.781263665E1;8.714519739E-1;4.218401909E0;8.247670174E0
7.781499795E1;6.128892899E-1;3.871257782E0;9.722434998E0
7.781735957E1;3.232033253E-1;3.236821651E0;1.073274517E1
7.781972124E1;-7.661116123E-2;3.014170408E0;1.202555847E1
7.782208222E1;-3.016564548E-1;3.057264090E0;1.315557289E1
7.782444306E1;-3.064446449E-1;2.822642565E0;1.321781921E1
7.782680436E1;-2.130747885E-1;2.513803720E0;1.283955193E1
7.782916472E1;1.915279031E-2;2.611961842E0;1.252831936E1
7.783152473E1;3.088387549E-1;2.870524406E0;1.174544907E1
7.783388509E1;4.883961678E-1;3.631847858E0;1.102721882E1
7.783624572E1;4.309377670E-1;4.381200790E0;9.882840157E0
7.783860722E1;2.561685741E-1;4.589487553E0;7.795185566E0
7.784096868E1;5.027607456E-2;4.582304955E0;5.532762527E0
7.784332915E1;-3.232033253E-1;5.719501972E0;5.283775806E0
7.784568972E1;-6.128892899E-1;6.045099258E0;4.405141830E0
7.784805051E1;-6.918945312E-1;5.666831970E0;3.042899609E0
7.785041077E1;-6.823181510E-1;6.315632820E0;4.151367188E0
7.785277160E1;-4.548787773E-1;6.059463978E0;4.922266960E0
7.785513150E1;-8.618755639E-2;5.281382084E0;5.111401081E0
7.785749238E1;2.848977447E-1;5.209558964E0;6.614894867E0
7.785985348E1;6.631653905E-1;4.979725361E0;8.398498535E0
7.786221420E1;9.313044548E-1;4.074756145E0;9.492601395E0
7.786457514E1;1.012703776E0;3.777887821E0;1.137436295E1
7.786693603E1;9.504572153E-1;3.141057491E0;1.200879955E1
7.786929676E1;5.458545089E-1;2.544927120E0;1.235115528E1
7.787165743E1;3.591148183E-2;2.595203161E0;1.301192665E1
7.787401816E1;-2.657449543E-1;2.674208403E0;1.325133705E1
7.787637941E1;-2.609567642E-1;2.360581398E0;1.250677204E1
7.787874092E1;-2.202570885E-1;2.865736246E0;1.260253620E1
7.788110222E1;-9.815804660E-2;3.066840649E0;1.141985130E1
7.788346311E1;-9.576395154E-3;3.876045942E0;1.038081264E1
7.788582441E1;1.029462516E-1;4.512876034E0;8.987446785E0
7.788818551E1;1.556164175E-1;4.464994431E0;7.017103672E0
7.789054676E1;2.633508667E-2;5.278987885E0;6.725023270E0
7.789290842E1;-3.136269450E-1;5.616555691E0;6.164804459E0
7.789527004E1;-6.990768313E-1;5.717107773E0;5.120977402E0
7.789763113E1;-9.624277353E-1;6.298873901E0;5.183223724E0
7.789999243E1;-7.924466729E-1;5.951729774E0;4.464994431E0
7.790235332E1;-3.710853159E-1;5.132947922E0;4.113061905E0
7.790471415E1;1.340695322E-1;5.650073051E0;5.925394535E0
7.790707514E1;5.961306095E-1;5.355598927E0;6.736993790E0
7.790943629E1;8.379345536E-1;4.577517033E0;6.921339512E0
7.791179749E1;9.097575545E-1;4.627792835E0;8.597208977E0
7.791415848E1;8.834224343E-1;3.967021704E0;9.801440239E0
7.791651962E1;6.104952097E-1;3.198515892E0;1.100806618E1
7.791888045E1;3.112328425E-2;2.868130445E0;1.220750999E1
7.792124103E1;-4.740315676E-1;2.820248365E0;1.326330757E1
7.792360176E1;-6.799240708E-1;2.746031284E0;1.343089390E1
7.792596243E1;-7.038650513E-1;2.611961842E0;1.328485394E1
7.792832332E1;-4.141790867E-1;2.705331564E0;1.300953293E1
7.793068519E1;2.154688910E-2;2.789125204E0;1.200161743E1
7.793304598E1;4.500905871E-1;3.411590815E0;1.110383034E1
7.793540696E1;6.392243505E-1;4.405141830E0;1.007676220E1
7.793776790E1;6.631653905E-1;4.788197517E0;7.900526047E0
7.794012900E1;4.309377670E-1;4.912690639E0;5.717107773E0
7.794249019E1;7.182296365E-3;5.764989853E0;4.898325920E0
7.794485165E1;-3.782676160E-1;6.179169178E0;4.007721424E0
7.794721275E1;-6.607712507E-1;5.908635616E0;2.511409521E0
7.794957332E1;-9.193339348E-1;6.533495426E0;3.454684496E0
7.795193420E1;-9.480631351E-1;6.167198658E0;4.115455627E0
7.795429488E1;-8.115994930E-1;5.465727329E0;4.800168037E0
7.795665577E1;-4.261495769E-1;5.252652645E0;6.516736984E0
